"","ambpal","aneatr","aphful","aphpic","aphrud","aphten","aphtre","bradep","camame","camcar","camcas","camchr","camher","camnea","camnov","campen","carobs","crecer","crelin","dolmar","dolpla","dolpus","doltas","forarg","forase","forcre","fordif","fordir","fordol","forexs","forfos","forgla","forimp","forinc","forint","forkni","forlas","forneo1","forneo2","fornep","forobs","forpal","forper","forpod","forpro","forque","forref","forrub","forsub1","forsub2","forsub3","forulk","hyppun","lasali","lascla","lasfla","lasint","laslat","lasmin","lasnea","lasneo","laspal","lasspe","lassub1","lassub2","lasumb","lepcan","leperg","lepwil","monema","monpha","monvir","myrala","myrame1","myrame2","myrbre","myrdet","myreva","myrfra","myrinc","myrine","myrlat","myrlob","myrnea","myrpin","myrpun","myrrub","myrsca","myrscu","myrsem","myrsmi","nylfla","nylpar","phefla","phepil","polluc","ponpen","preimp","proame","prosil","pyrmet","pyrper","pyrpul","solmol","soltex","stebre","stedie","steimp","stesch","tapmel","tapses","tapspA","temamb","temcur","temlon","temsch","temtex","tetcae"
"ambpal",202,8,8,14,382,2,2,84,26,18,4,6,4,90,38,250,0,176,172,12,16,12,8,4,6,0,2,0,16,20,2,6,0,166,6,2,24,64,4,0,8,10,4,0,2,0,2,4,6,2,248,2,0,236,30,20,54,26,8,62,260,60,2,10,2,60,8,0,0,20,0,0,0,66,22,0,6,0,44,8,2,0,8,2,20,192,308,40,116,0,64,114,2,0,4,0,332,320,6,0,8,0,0,138,0,200,8,128,66,0,270,0,176,268,166,2,0,306
"aneatr",8,2,0,0,36,0,0,0,0,2,0,0,0,6,0,18,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,14,2,0,4,0,0,0,38,4,0,0,0,2,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2,10,28,6,0,0,0,28,0,0,0,0,32,38,0,0,2,0,0,18,0,20,0,6,2,0,10,0,12,14,8,0,0,24
"aphful",8,0,32,2,30,0,0,4,6,2,0,4,2,12,12,20,0,16,10,0,2,6,2,2,0,0,2,0,2,2,0,0,0,16,4,0,4,6,0,2,4,4,4,0,0,0,0,4,2,2,10,0,0,18,6,6,6,10,2,6,14,10,2,2,2,6,2,0,0,4,0,0,0,14,6,0,4,0,6,2,0,0,0,4,4,16,34,6,8,2,4,0,2,0,0,4,32,18,4,0,0,0,0,8,0,20,2,18,6,0,30,0,26,18,10,2,0,34
"aphpic",14,0,2,56,28,0,0,8,10,4,0,2,8,6,34,30,0,18,12,8,8,12,10,20,12,0,0,0,4,18,2,18,0,12,14,2,34,26,2,2,4,12,2,0,0,2,2,6,12,6,44,4,0,30,6,16,4,4,6,4,26,12,2,2,8,12,8,0,0,6,0,0,2,20,30,0,24,0,22,4,2,0,2,4,4,22,6,0,26,2,12,0,4,0,4,2,18,10,2,0,0,0,0,6,0,16,10,4,4,0,32,0,16,12,18,2,2,8
"aphrud",382,36,30,28,1888,6,8,274,70,62,6,46,44,348,164,1138,2,678,734,14,40,52,20,30,14,0,6,0,70,36,0,6,2,690,30,2,80,232,10,8,22,44,16,0,2,6,0,10,44,20,1088,0,0,1024,114,56,190,44,12,266,1146,220,20,36,4,274,26,2,0,88,2,2,0,198,98,0,82,0,164,34,0,2,44,24,86,874,1262,180,400,2,254,510,14,2,8,10,1306,1320,24,0,36,0,0,592,8,804,26,514,256,0,1148,0,716,1050,660,12,4,1284
"aphten",2,0,0,0,6,18,0,2,2,0,0,0,0,0,2,2,0,4,4,0,2,2,2,0,0,0,0,0,0,6,0,0,0,2,2,0,4,2,0,0,2,0,0,0,2,0,0,2,0,4,2,0,0,4,4,4,4,4,4,2,4,0,0,0,0,2,2,0,0,2,0,0,0,4,2,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,6,0,0,2
"aphtre",2,0,0,0,8,0,16,2,4,0,2,2,0,6,6,4,0,0,4,0,4,0,2,2,0,0,4,0,0,4,0,0,0,8,2,0,4,4,0,0,0,4,2,0,0,0,0,0,0,0,6,0,0,6,6,4,2,0,0,2,8,0,0,0,0,2,0,0,0,6,0,0,0,0,4,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,2,2,2,0,2,6
"bradep",84,0,4,8,274,2,2,156,18,16,0,2,10,60,16,224,2,158,136,6,12,12,10,6,8,0,2,0,26,14,2,6,0,122,10,2,24,90,4,2,4,6,2,0,2,0,2,2,8,4,252,2,0,216,14,14,34,16,6,88,142,28,2,16,4,64,10,0,0,8,0,0,0,16,38,0,14,0,48,4,2,0,4,4,16,184,214,18,150,2,84,4,4,0,4,2,206,180,8,0,0,0,0,70,0,122,4,90,48,0,264,0,126,202,154,2,0,244
"camame",26,0,6,10,70,2,4,18,82,4,6,18,2,26,36,62,0,38,30,10,10,8,10,6,0,0,6,0,18,18,0,0,2,48,12,2,16,30,0,2,8,22,6,0,0,6,0,10,4,4,54,0,0,44,24,14,14,14,4,20,32,12,4,6,2,26,2,0,0,14,2,2,0,24,22,0,2,0,10,8,0,0,2,2,6,36,42,6,30,2,22,0,6,2,4,8,52,54,0,0,0,0,0,20,0,26,2,20,6,0,60,0,28,46,32,4,0,52
"camcar",18,2,2,4,62,0,0,16,4,14,0,0,4,16,4,46,0,28,28,2,4,4,4,2,2,0,0,0,6,4,2,2,0,32,4,0,4,14,2,2,4,2,2,0,0,0,2,2,4,2,44,0,0,32,6,4,8,2,4,10,48,8,2,2,4,12,4,0,0,2,0,0,0,6,6,0,4,0,8,2,0,0,2,2,6,28,38,6,20,2,10,28,2,0,0,2,50,56,0,0,2,0,0,22,0,30,4,16,6,0,32,0,18,32,28,0,0,38
"camcas",4,0,0,0,6,0,2,0,6,0,32,6,0,4,8,12,0,2,4,0,2,0,0,2,0,0,2,0,4,4,0,0,2,6,2,0,2,0,0,0,2,8,2,0,0,2,0,0,2,0,6,0,0,6,8,2,6,0,0,2,6,0,2,0,0,6,0,0,0,2,2,2,0,2,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,2,8,0,2,0,2,0,0,0,0,0,0,0,0,6,0,0,4,4,2,0,4
"camchr",6,0,4,2,46,0,2,2,18,0,6,100,2,16,30,74,0,10,18,0,4,6,0,8,2,0,6,0,6,14,0,0,2,24,8,0,10,16,2,0,8,18,12,0,0,4,0,6,10,2,36,0,0,42,28,18,8,12,0,22,24,2,2,6,0,22,4,0,0,10,2,2,0,18,12,0,8,0,6,8,0,0,4,8,2,32,0,0,6,0,10,0,10,0,0,6,8,16,2,0,0,0,0,8,4,6,0,8,0,0,30,0,6,14,22,4,0,16
"camher",4,0,2,8,44,0,0,10,2,4,0,2,222,14,98,54,0,22,6,2,20,36,16,30,30,0,0,0,4,18,2,8,0,10,22,0,40,12,26,4,6,4,2,0,2,0,2,6,28,8,72,0,0,68,16,10,4,2,14,6,44,18,2,4,8,24,38,2,0,0,0,0,0,2,14,2,46,0,20,6,0,2,24,2,6,14,6,0,14,2,6,0,4,0,0,2,8,6,2,0,0,0,0,4,0,14,20,4,4,0,42,0,16,6,38,0,0,8
"camnea",90,6,12,6,348,0,6,60,26,16,4,16,14,208,64,256,0,154,156,2,20,30,10,8,6,0,6,0,20,20,0,0,0,152,14,0,16,58,0,4,10,14,12,0,0,4,0,6,20,4,224,0,0,200,34,18,48,12,8,56,204,46,6,10,2,80,10,0,0,18,4,0,0,58,26,2,18,0,34,12,0,0,16,6,20,182,228,32,88,2,48,84,4,0,4,8,272,264,4,0,6,0,0,116,2,156,6,112,52,0,250,0,144,224,158,6,0,256
"camnov",38,0,12,34,164,2,6,16,36,4,8,30,98,64,544,220,0,86,40,10,32,52,32,68,44,2,6,0,16,60,10,38,2,66,52,2,96,84,22,6,24,36,10,0,2,2,2,24,62,26,216,4,0,174,56,50,24,22,22,28,126,42,18,8,10,68,42,2,0,20,2,2,2,56,70,2,84,0,66,30,0,6,38,4,10,112,42,6,66,2,28,0,8,2,4,10,74,58,2,0,0,0,0,28,2,48,30,40,20,0,148,0,74,64,102,6,0,68
"campen",250,18,20,30,1138,2,4,224,62,46,12,74,54,256,220,1256,6,474,456,10,30,44,14,36,18,0,6,0,68,32,2,12,2,512,32,2,66,210,16,6,28,54,20,0,0,10,2,18,50,14,842,2,0,796,110,48,108,46,16,222,704,120,18,34,4,238,24,0,0,58,2,2,0,108,106,0,78,0,146,22,2,4,36,22,66,678,676,122,336,2,202,266,14,0,10,10,782,844,22,0,18,0,0,366,6,476,20,372,202,0,778,0,416,742,524,20,2,812
"carobs",0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,6,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,0,18,2,0,0,0,2,0,0,0,4,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,4,14,16,0,0,0,4,0,0,0,0,4,8,0,0,0,0,0,8,0,4,0,0,0,0,12,0,16,8,6,0,0,32
"crecer",176,10,16,18,678,4,0,158,38,28,2,10,22,154,86,474,6,476,336,16,26,16,20,28,20,0,0,0,32,40,8,24,0,334,32,2,64,120,8,4,10,10,4,0,2,2,2,16,16,18,478,6,0,490,44,36,88,30,6,106,484,138,4,18,4,110,22,2,0,42,2,0,0,82,76,0,36,0,122,16,2,2,2,2,38,368,604,116,232,2,118,152,8,2,2,6,590,562,8,0,10,0,0,254,2,350,14,242,124,0,592,0,386,536,304,8,0,682
"crelin",172,16,10,12,734,4,4,136,30,28,4,18,6,156,40,456,6,336,456,6,20,12,6,6,6,0,2,0,26,20,2,2,2,310,10,2,24,78,2,4,10,16,8,0,2,4,2,6,8,4,444,0,0,444,38,24,96,22,6,96,554,106,4,10,4,88,10,0,0,52,0,2,0,74,44,0,22,0,82,8,0,0,4,10,28,350,698,122,136,2,92,236,10,0,6,2,634,580,2,0,16,0,0,284,6,390,6,196,92,0,548,0,402,482,262,4,2,732
